AT2G36840	AL4G33040
AT2G15530	AL3G47260
AT1G68090	AL2G26820
AT3G53900	AL5G34880
AT3G52770	AL5G33550
AT3G51760	AL5G32220
AT2G28210	AL4G21910
AT5G40660	AL7G49080
AT2G33385	AL4G29040
AT2G44360	AL4G43340
AT2G43330	AL4G42010
AT2G45500	AL4G44670
AT5G54430	AL8G29800
AT1G52155	AL1G60250
AT1G62380	AL2G13510
AT3G43660	AL5G21570
AT2G15560	AL3G47290
AT1G53180	AL1G61580
AT2G34140	AL4G30030
AT2G35330	AL4G31360
AT2G36500	AL4G32690
AT1G01370	AL1G59290
AT1G68100	AL2G26810
AT3G51750	AL5G32210
AT5G40650	AL7G49090
AT2G43340	AL4G42020
AT1G62390	AL2G13500
AT3G43630	AL5G21560
AT1G53190	AL1G61590
AT1G52160	AL1G60260
AT3G44716	AL5G22890
AT2G35340	AL4G31370
AT2G15535	AL3G47280
AT5G19800	AL6G31320
AT3G51740	AL5G32200
AT5G40680	AL7G49060
AT2G01760	AL5G10890
AT5G44560	AL8G15260
AT3G53880	AL5G34860
AT3G52760	AL5G33530
AT5G62400	AL8G39230
AT4G17540	AL7G37080
AT5G63140	AL8G40220
AT5G21090	AL6G32650
AT2G25605	AL4G17070
AT5G09280	AL6G19670
ATMG00770	AL5G20220
AT5G52810	AL8G27240
AT3G44690	AL5G22880
AT5G10180	AL6G20670
AT5G19810	AL6G31330
AT5G44550	AL8G15270
AT3G52750	AL5G33520
AT5G40670	AL7G49070
AT3G53870	AL5G34850
AT4G17530	AL7G37090
AT5G65300	AL8G42870
AT5G22870	AL6G33990
AT5G06870	AL6G17000
AT4G11485	AL6G45960
AT5G07990	AL6G18330
AT5G09270	AL6G19660
AT3G43610	AL5G21540
AT2G25600	AL4G17060
AT5G62390	AL8G39220
AT4G27640	AL7G25080
AT5G10190	AL6G20680
AT4G09670	AL6G43300
AT2G01750	AL5G10870
AT5G21070	AL6G32630
AT5G40700	AL7G49040
AT1G76140	AL2G36190
AT5G44530	AL8G15280
AT3G53860	AL5G34840
AT5G63150	AL8G40240
AT4G17560	AL7G37060
AT5G39920	AL7G50030
AT5G22850	AL6G33960
AT4G11480	AL6G45950
AT3G29830	AL5G20200
AT5G08010	AL6G18360
AT2G26140	AL4G18380
AT5G52820	AL8G27260
AT5G06900	AL6G17030
AT3G43600	AL5G21530
AT2G25590	AL4G17050
AT5G09300	AL6G19690
AT5G10160	AL6G20650
AT5G11330	AL6G21980
AT2G01755	AL5G10880
AT5G40690	AL7G49050
AT5G62410	AL8G39240
AT4G17550	AL7G37070
AT3G52740	AL5G33500
AT5G22860	AL6G33970
AT5G39090	AL7G51370
AT5G19790	AL6G31310
AT5G21080	AL6G32640
AT5G52830	AL8G27270
AT5G08005	AL6G18350
AT2G26135	AL4G18370
AT5G09290	AL6G19680
AT5G11340	AL6G21990
AT4G10560	AL6G44610
AT5G10170	AL6G20660
AT5G40720	AL7G49020
AT5G22830	AL6G33940
AT5G21060	AL6G32610
AT5G54500	AL8G29860
AT1G04310	AL1G13910
AT3G53830	AL5G34820
AT4G17565	AL7G37040
AT5G07960	AL6G18300
AT5G65274	AL8G42840
AT5G64220	AL8G41510
AT5G09240	AL6G19630
AT5G11320	AL6G21960
AT5G42950	AL8G17880
AT2G26130	AL4G18360
AT5G44567	AL8G15220
AT4G10550	AL6G44600
AT4G11470	AL6G45930
AT5G22840	AL6G33950
AT5G40710	AL7G49030
AT2G46500	AL4G45910
AT5G54510	AL8G29870
AT5G52780	AL8G27210
AT3G53820	AL5G34810
AT1G04300	AL1G13900
AT5G16590	AL7G52680
AT5G65270	AL8G42830
AT5G09230	AL6G19620
AT2G36420	AL4G32600
AT1G14048	AL1G25910
AT2G26680	AL4G19680
AT3G43540	AL5G21500
AT2G25580	AL4G17020
AT4G26540	AL7G26370
AT2G46505	AL4G45920
AT5G22810	AL6G33920
AT5G43680	AL8G16570
AT5G65290	AL8G42860
AT1G03130	AL1G12600
AT5G52790	AL8G27220
AT3G53810	AL5G34800
AT2G01735	AL5G10830
AT5G63135	AL8G40200
AT4G15720	AL7G39682
AT2G28160	AL4G21990
AT1G04330	AL1G13930
AT4G17580	AL7G37020
AT5G07980	AL6G18320
AT5G09260	AL6G19650
AT2G36430	AL4G32610
AT5G11300	AL6G21940
AT5G62380	AL8G39210
AT2G25570	AL4G17010
AT2G13985	AL4G19670
AT5G40740	AL7G49000
AT5G40730	AL7G49010
AT5G38200	AL7G52660
AT2G45430	AL4G44600
AT5G22820	AL6G33930
AT5G21050	AL6G32600
AT5G43670	AL8G16580
AT5G44563	AL8G15250
AT5G52800	AL8G27230
AT5G65280	AL8G42850
AT2G27120	AL4G20650
AT2G46510	AL4G45930
AT2G01740	AL5G10840
AT4G17570	AL7G37030
AT5G64230	AL8G41520
AT5G11310	AL6G21950
AT5G07970	AL6G18310
AT5G09250	AL6G19640
AT5G10130	AL6G20620
AT5G62370	AL8G39200
AT5G54520	AL8G29890
AT2G26670	AL4G19660
AT2G36440	AL4G32620
AT2G25565	AL4G17000
AT2G36100	AL4G32190
AT4G22790	AL7G30720
AT4G24790	AL7G28400
AT5G17980	AL6G29080
AT3G51090	AL5G31510
AT1G05055	AL1G14800
AT4G09750	AL6G43390
AT3G52250	AL5G32840
AT3G30180	AL5G19860
AT2G45080	AL4G44170
AT4G34780	AL7G16420
AT3G27750	AL5G17200
AT3G61230	AL5G43500
AT4G13070	AL9U11200
AT3G62130	AL5G44830
AT5G06940	AL6G17090
AT4G23640	AL7G29720
AT4G22810	AL7G30710
AT5G17990	AL6G29090
AT3G52240	AL5G32830
AT3G51080	AL5G31500
AT4G13800	AL7G42720
AT3G30210	AL5G19870
AT4G33720	AL7G17740
AT3G27770	AL5G17210
AT3G62120	AL5G44840
AT4G34790	AL7G16410
AT3G61240	AL5G43510
AT4G13060	AL9U11210
AT5G18750	AL6G30080
AT5G06930	AL6G17080
AT3G42640	AL5G20850
AT3G03100	AL3G12700
AT1G14770	AL1G26800
AT4G24770	AL7G28420
AT4G23620	AL7G29750
AT5G19855	AL6G31380
AT4G22780	AL7G30740
AT3G52230	AL5G32820
AT2G26440	AL4G19190
AT2G26940	AL4G20180
AT4G35930	AL7G15110
AT4G34760	AL7G16440
AT2G10440	AL5G19840
AT3G61250	AL5G43520
AT3G42630	AL5G20840
AT4G24780	AL7G28410
AT4G23630	AL7G29740
AT5G19860	AL6G31390
AT3G52220	AL5G32810
AT1G05060	AL1G14810
AT4G35940	AL7G15100
AT2G26930	AL4G20170
AT3G62100	AL5G44860
AT4G08290	AL6G42030
AT4G34770	AL7G16430
AT3G61260	AL5G43530
AT4G10620	AL6G44690
AT3G60020	AL5G42200
AT3G28780	AL5G18520
AT3G03110	AL3G12720
AT1G03910	AL1G13510
AT3G52210	AL5G32800
AT4G33760	AL7G17710
AT3G22420	AL3G36700
AT4G08280	AL6G42020
AT2G26920	AL4G20160
AT2G27500	AL4G21490
AT4G10610	AL6G44680
AT4G09730	AL6G43350
AT3G60030	AL5G42210
AT5G08030	AL6G18380
AT5G06905	AL6G17050
AT1G14810	AL1G26830
AT1G13710	AL1G25500
AT3G03120	AL3G12730
AT3G02150	AL3G11400
AT1G14820	AL1G26840
AT5G19850	AL6G31370
AT3G29970	AL5G19830
AT3G28770	AL5G18500
AT2G26910	AL4G20150
AT1G05070	AL1G14830
AT3G13000	AL3G24720
AT4G33770	AL7G17700
AT4G09720	AL6G43340
AT3G61270	AL5G43550
AT5G06755	AL6G17040
AT5G08020	AL6G18370
AT3G03130	AL3G12740
AT3G02160	AL3G11410
AT5G19820	AL6G31340
AT2G19550	AL3G48700
AT4G22820	AL7G30700
AT3G11840	AL3G23400
AT5G17920	AL6G29020
AT5G59170	AL48U10080
AT4G23650	AL7G29710
AT1G02816	AL1G12200
AT2G27480	AL4G21470
AT4G34800	AL7G16400
AT3G11825	AL6G45990
AT4G33730	AL7G17730
AT5G06920	AL6G17070
AT5G10200	AL6G20690
AT4G13050	AL9U11220
AT3G03140	AL3G12750
AT3G02170	AL3G11420
AT1G14780	AL1G26810
AT3G42180	AL5G20800
AT5G19830	AL6G31350
AT4G23660	AL7G29700
AT5G17930	AL6G29030
AT3G13030	AL3G24740
AT2G27470	AL4G21460
AT1G03920	AL1G13520
AT2G27610	AL4G22790
AT2G26900	AL4G20130
AT4G33740	AL7G17720
AT4G09680	AL6G43320
AT3G61300	AL5G43570
AT4G10600	AL6G44650
AT3G60050	AL5G42240
AT5G06910	AL6G17060
AT3G03150	AL3G12760
AT5G08040	AL6G18390
AT3G02180	AL3G11430
AT3G01990	AL3G10100
AT1G14850	AL1G26870
AT1G13750	AL1G25540
AT5G53150	AL8G27800
AT2G19530	AL3G48720
AT3G11850	AL3G23420
AT2G46170	AL4G45420
AT2G47190	AL4G46750
AT3G13040	AL3G24750
AT1G43710	AL1G51830
AT1G75580	AL2G35560
AT1G74380	AL2G34230
AT5G44200	AL8G15820
AT3G21351	AL3G35410
AT1G23770	AL1G37520
AT3G22430	AL3G36740
AT2G36010	AL4G32110
AT3G03160	AL3G12770
AT3G02190	AL3G11440
AT3G01980	AL3G10110
AT1G65980	AL2G23570
AT2G37090	AL4G33440
AT1G13755	AL1G25550
AT5G53160	AL8G27810
AT3G10630	AL3G22100
AT3G03170	AL3G12780
AT3G13050	AL3G24760
AT2G45000	AL4G44100
AT2G46180	AL4G45430
AT2G47200	AL4G46760
AT1G75590	AL2G35570
AT1G09080	AL2G10250
AT1G74390	AL2G34240
AT1G43700	AL1G51820
AT3G61320	AL5G43590
AT1G05100	AL1G14870
AT3G60070	AL5G42260
AT1G02820	AL1G12210
AT1G22660	AL1G36200
AT3G21350	AL3G35400
AT1G23780	AL1G37530
AT3G02200	AL3G11450
AT2G36020	AL4G32120
AT3G01970	AL3G10120
AT2G37100	AL4G33450
AT5G53670	AL281U10020
AT5G44190	AL8G15830
AT1G66730	AL2G24890
AT1G14830	AL1G26850
AT1G13730	AL1G25520
AT2G37840	AL4G34790
AT3G10640	AL3G22110
AT3G03180	AL3G12790
AT3G02210	AL3G11460
AT3G22450	AL3G36760
AT2G45010	AL4G44110
AT1G64520	AL2G10280
AT2G47210	AL4G46770
AT1G23750	AL1G37500
AT1G43690	AL1G51810
AT1G75560	AL2G35540
AT5G53170	AL8G27820
AT1G02840	AL1G12240
AT1G74360	AL2G34210
AT1G53820	AL1G62510
AT1G55750	AL1G63840
AT1G03960	AL1G13570
AT3G21360	AL3G35430
AT3G20390	AL3G34100
AT1G65990	AL2G23590
AT2G37110	AL4G33460
AT5G44940	AL8G14510
AT5G44180	AL8G15840
AT1G13740	AL1G25530
AT2G37120	AL4G33470
AT3G02220	AL3G11470
AT3G01960	AL3G10140
AT3G10650	AL3G22120
AT2G19520	AL3G48730
AT2G15630	AL3G47400
AT1G76730	AL2G36880
AT5G53180	AL8G27830
AT1G64530	AL2G10270
AT1G74370	AL2G34220
AT5G52130	AL8G26500
AT1G03950	AL1G13560
AT2G47230	AL4G46780
AT1G23760	AL1G37510
AT1G24010	AL1G38840
AT3G22440	AL3G36750
AT2G36050	AL4G32140
AT5G44170	AL8G15850
AT1G65985	AL2G23580
AT5G44950	AL8G14520
AT5G62830	AL8G39800
AT1G31500	AL1G49550
AT1G43780	AL1G51870
AT1G35660	AL1G50540
AT1G33800	AL1G48220
AT2G37130	AL4G33480
AT2G36060	AL4G32150
AT1G13780	AL1G25580
AT3G02230	AL3G11480
AT3G01950	AL3G10150
AT3G21371	AL3G35450
AT3G23420	AL3G34120
AT1G74420	AL2G34270
AT3G22470	AL3G36780
AT2G45040	AL4G44130
AT3G60090	AL5G42290
AT1G03982	AL1G13594
AT1G22690	AL1G36230
AT1G23800	AL1G37560
AT2G46200	AL4G45460
AT2G47240	AL4G46790
AT3G13062	AL3G24790
AT1G02850	AL1G12260
AT1G03980	AL1G13592
AT3G10660	AL3G22130
AT3G11870	AL3G23460
AT1G43770	AL1G51860
AT1G13790	AL1G25590
AT2G36070	AL4G32160
AT3G01940	AL3G10160
AT1G64510	AL2G10290
AT1G74430	AL2G34280
AT3G22460	AL3G36770
AT3G21370	AL3G35440
AT4G08320	AL6G42090
AT1G22700	AL1G36240
AT1G23820	AL1G37570
AT2G45050	AL4G44140
AT2G46210	AL4G45470
AT3G20395	AL3G34110
AT1G03970	AL1G13580
AT3G10670	AL3G22140
AT2G19500	AL3G48750
AT2G36080	AL4G32170
AT4G08310	AL6G42080
AT3G21390	AL3G35470
AT3G20420	AL3G34140
AT1G74400	AL2G34250
AT1G26810	AL1G38870
AT1G02870	AL1G12280
AT2G45060	AL4G44150
AT5G38480	AL7G52090
AT2G46220	AL4G45480
AT1G22670	AL1G36210
AT2G15680	AL3G47450
AT1G55740	AL1G63800
AT3G10680	AL3G22150
AT2G19470	AL3G48780
AT3G11900	AL3G23480
AT1G13770	AL1G25570
AT2G36090	AL4G32180
AT1G31550	AL1G49520
AT3G20410	AL3G34130
AT4G08300	AL6G42070
AT1G74410	AL2G34260
AT3G22480	AL3G36790
AT3G21380	AL3G35460
AT1G23790	AL1G37550
AT5G44210	AL8G15810
AT1G26800	AL1G38880
AT1G02860	AL1G12270
AT1G22680	AL1G36220
AT2G45070	AL4G44160
AT2G46225	AL4G45490
AT3G10690	AL3G22160
AT2G19480	AL3G48770
AT3G11910	AL3G23490
AT5G50915	AL8G25100
AT2G27670	AL4G22700
AT5G53110	AL8G27760
AT3G20320	AL3G34040
AT5G52060	AL8G26430
AT5G63620	AL8G40740
AT1G31460	AL1G49590
AT3G21310	AL3G35370
AT1G33810	AL1G48260
AT1G76790	AL2G36930
AT1G53860	AL1G62570
AT1G75620	AL2G35600
AT5G62790	AL8G39750
AT5G10220	AL6G20710
AT2G21530	AL4G10720
AT1G64500	AL2G10300
AT5G44240	AL8G15780
AT2G15590	AL3G47350
AT3G10585	AL3G22050
AT5G44990	AL8G14450
AT5G45550	AL8G13120
AT3G11820	AL3G23380
AT1G22730	AL1G36270
AT3G02020	AL3G10080
AT5G50920	AL8G25110
AT1G35680	AL1G50570
AT1G66760	AL2G24930
AT5G53120	AL8G27770
AT3G21300	AL3G35360
AT3G20310	AL3G34030
AT5G09310	AL6G19700
AT1G31470	AL1G49580
AT5G63610	AL8G40730
AT2G32990	AL120U10014
AT5G10230	AL6G20720
AT1G52920	AL1G61250
AT5G61690	AL8G38410
AT2G37770	AL4G34700
AT5G62770	AL8G39740
AT1G63610	AL2G11620
AT2G21520	AL4G10710
AT5G44973	AL8G14460
AT2G15580	AL3G47340
AT5G44230	AL8G15790
AT5G45540	AL8G13130
AT2G19570	AL3G48670
AT3G10595	AL3G22060
AT1G22740	AL1G36280
AT3G11830	AL3G23390
AT3G02000	AL3G10090
AT1G31480	AL1G49570
AT5G50930	AL8G25120
AT1G35670	AL1G50560
AT5G53130	AL8G27780
AT5G52070	AL8G26450
AT5G63640	AL8G40760
AT3G20340	AL3G34060
AT3G21330	AL3G35390
AT5G08050	AL6G18400
AT5G09330	AL6G19730
AT1G52930	AL1G61260
AT1G63600	AL2G11650
AT1G23830	AL1G37580
AT1G22710	AL1G36250
AT1G76760	AL2G36910
AT2G21510	AL4G10700
AT5G60520	AL8G37110
AT2G17970	AL3G50990
AT5G62810	AL8G39770
AT5G44970	AL8G14470
AT2G37780	AL4G34710
AT3G10600	AL3G22070
AT2G14520	AL3G46040
AT2G15620	AL3G47370
AT3G43260	AL1G50550
AT1G31490	AL1G49560
AT5G44980	AL8G14480
AT5G50940	AL8G25130
AT5G38400	AL7G52180
AT3G21320	AL3G35380
AT5G63630	AL8G40750
AT3G20330	AL3G34050
AT5G09315	AL6G19720
AT1G63570	AL2G11640
AT1G64490	AL2G10310
AT5G10210	AL6G20700
AT5G60510	AL8G37100
AT5G62800	AL8G39760
AT5G53140	AL8G27790
AT5G45530	AL8G13150
AT2G14500	AL3G46030
AT2G19560	AL3G48690
AT3G10610	AL3G22080
AT2G15610	AL3G47360
AT3G50070	AL5G30190
AT4G16024	AL7G39180
AT1G63540	AL2G11670
AT2G47160	AL4G46710
AT1G76850	AL2G36970
AT5G53090	AL8G27720
AT3G20360	AL3G34080
AT1G75660	AL2G35640
AT1G74450	AL2G34310
AT5G62740	AL8G39710
AT4G15410	AL7G40170
AT4G25840	AL7G27190
AT5G44265	AL8G15740
AT3G50060	AL5G30180
AT3G10620	AL3G22090
AT3G50050	AL5G30170
AT3G49430	AL5G29180
AT5G53100	AL8G27730
AT5G52050	AL8G26400
AT3G62290	AL4G46720
AT1G76860	AL2G36980
AT1G75670	AL2G35650
AT3G20350	AL3G34070
AT1G55760	AL1G63870
AT5G62730	AL8G39700
AT1G63550	AL2G11660
AT1G52890	AL1G61210
AT1G53830	AL1G62540
AT2G37060	AL4G33410
AT4G25845	AL7G27180
AT5G44260	AL8G15750
AT3G50040	AL5G30160
AT3G49410	AL5G29170
AT3G51070	AL5G31490
AT5G38450	AL7G52130
AT1G33811	AL1G48280
AT2G46150	AL4G45400
AT2G47180	AL4G46730
AT1G53840	AL1G62550
AT1G55770	AL1G63880
AT1G75640	AL2G35620
AT5G61680	AL8G38400
AT2G14530	AL3G46080
AT5G62760	AL8G39730
AT1G52900	AL1G61220
AT4G14620	AL7G41480
AT2G37070	AL4G33420
AT5G45580	AL8G13100
AT4G15417	AL7G40150
AT1G22750	AL1G36290
AT3G49400	AL5G29160
AT3G20370	AL3G34090
AT3G50030	AL5G30150
AT2G46840	AL4G46740
AT1G63530	AL2G11680
AT2G46160	AL4G45410
AT1G53850	AL1G62560
AT1G55775	AL1G63890
AT5G62750	AL8G39720
AT5G44250	AL8G15770
AT5G45560	AL8G13110
AT3G27740	AL5G17190
AT2G37810	AL4G34760
AT4G15415	AL7G40160
AT2G37080	AL4G33430
AT5G19910	AL6G31440
AT3G51050	AL5G31470
AT4G35880	AL7G15170
AT5G60580	AL8G37170
AT5G21150	AL6G32770
AT2G27460	AL4G21450
AT4G08330	AL6G42100
AT5G06970	AL6G17130
AT4G10710	AL6G44760
AT5G09400	AL6G19790
AT4G13710	AL7G42790
AT4G14630	AL7G41460
AT4G15420	AL7G40130
AT5G10290	AL6G20790
AT4G25870	AL7G27150
AT3G28760	AL5G18490
AT3G52200	AL5G32790
AT5G18770	AL6G30120
AT5G19920	AL6G31450
AT3G51040	AL5G31460
AT2G26890	AL4G20110
AT4G22758	AL7G30790
AT5G61730	AL8G38490
AT5G60570	AL8G37160
AT5G21160	AL6G32780
AT5G38460	AL7G52120
AT3G49380	AL5G29140
AT2G27520	AL4G21440
AT4G35890	AL7G15160
AT4G34710	AL7G16490
AT5G09390	AL6G19780
AT2G26430	AL4G19120
AT2G21590	AL4G10790
AT4G24715	AL7G28470
AT3G27730	AL5G17170
AT5G18000	AL6G29100
AT3G51030	AL5G31450
AT5G60600	AL8G37190
AT3G49370	AL5G29130
AT5G19890	AL6G31420
AT4G16070	AL7G39120
AT5G21140	AL6G32750
AT4G15440	AL7G40110
AT3G27700	AL5G17140
AT4G14650	AL7G41440
AT4G13075	AL9U11140
AT5G06990	AL6G17150
AT5G08110	AL6G18480
AT2G26420	AL4G19110
AT4G25850	AL7G27170
AT4G13730	AL7G42770
AT2G21580	AL4G10780
AT5G19900	AL6G31430
AT5G38470	AL7G52100
AT3G51020	AL5G31440
AT3G52190	AL5G32770
AT4G35870	AL7G15180
AT3G49360	AL5G29120
AT4G16060	AL7G39130
AT5G18760	AL6G30100
AT3G42170	AL5G20790
AT3G28750	AL5G18480
AT3G27710	AL5G17150
AT4G15430	AL7G40120
AT5G08100	AL6G18470
AT5G06980	AL6G17140
AT2G26410	AL4G19100
AT4G25860	AL7G27160
AT4G13720	AL7G42780
AT4G14640	AL7G41450
AT5G10280	AL6G20780
AT4G09760	AL6G43400
AT4G10650	AL6G44730
AT5G21120	AL6G32730
AT4G25900	AL7G27110
AT4G22770	AL7G30760
AT1G66740	AL2G24900
AT5G50950	AL8G25140
AT3G51010	AL5G31430
AT5G61700	AL8G38460
AT4G33690	AL7G17790
AT4G02910	AL8G39790
AT4G34740	AL7G16460
AT2G27450	AL4G21410
AT3G49350	AL5G29110
AT4G35910	AL7G15130
AT5G19870	AL6G31400
AT5G09360	AL6G19750
AT5G10250	AL6G20750
AT3G29670	AL5G19780
AT3G28730	AL5G18450
AT3G27680	AL5G17120
AT1G62840	AL2G12920
AT4G13770	AL7G42750
AT5G60540	AL8G37130
AT3G33520	AL5G20780
AT5G52100	AL8G26470
AT3G62160	AL5G44910
AT4G24750	AL7G28440
AT4G23600	AL7G29770
AT4G10640	AL6G44720
AT5G21130	AL6G32740
AT4G24760	AL7G28430
AT4G25910	AL7G27100
AT3G52170	AL5G32750
AT3G51000	AL5G31420
AT5G62820	AL8G39780
AT4G33700	AL7G17780
AT3G49340	AL5G29100
AT4G34750	AL7G16450
AT5G19875	AL6G31410
AT5G59090	AL48U10010
AT5G09350	AL6G19740
AT4G15450	AL7G40100
AT3G28740	AL5G18460
AT4G35920	AL7G15120
AT3G27690	AL5G17130
AT1G62850	AL2G12910
AT4G13750	AL7G42760
AT4G14660	AL7G41430
AT3G33530	AL5G20770
AT5G52110	AL8G26480
AT1G76750	AL2G36900
AT5G60530	AL8G37120
AT2G21560	AL4G10750
AT4G23610	AL7G29760
AT5G10260	AL6G20760
AT5G45520	AL8G13180
AT3G52160	AL5G32740
AT1G05140	AL1G14900
AT5G60553	AL8G37150
AT3G50990	AL5G31410
AT5G06960	AL6G17110
AT3G13280	AL7G41400
AT5G08070	AL6G18440
AT5G09380	AL6G19770
AT5G52120	AL8G26490
AT1G62830	AL2G12940
AT4G13790	AL7G42730
AT2G21550	AL4G10740
AT3G62180	AL5G44930
AT5G50970	AL8G25160
AT4G10630	AL6G44700
AT4G25880	AL7G27130
AT4G24730	AL7G28460
AT5G45510	AL8G13190
AT1G66750	AL2G24910
AT4G22760	AL7G30770
AT2G27660	AL4G22710
AT3G50980	AL5G31400
AT5G63650	AL8G40790
AT4G34730	AL7G16470
AT5G60550	AL8G37140
AT3G52155	AL5G32730
AT4G35905	AL7G15140
AT5G08060	AL6G18430
AT5G10240	AL6G20740
AT5G06950	AL6G17100
AT1G63640	AL2G11600
AT4G13780	AL7G42740
AT3G61350	AL5G43610
AT2G21540	AL4G10730
AT3G62190	AL5G44940
AT5G50990	AL8G25170
AT4G24740	AL7G28450
AT4G25890	AL7G27120
AT4G23590	AL7G29780
AT4G23740	AL7G29610
AT4G22920	AL7G30600
AT1G74330	AL2G34190
AT3G51230	AL5G31630
AT1G05160	AL1G14920
AT2G26865	AL4G20080
AT2G35555	AL4G19090
AT4G32780	AL7G18960
AT3G30300	AL5G19980
AT3G42790	AL5G20980
AT4G33830	AL7G17630
AT4G34920	AL7G16300
AT2G44940	AL4G44050
AT5G18830	AL6G30190
AT3G03200	AL3G12810
AT2G35980	AL4G32080
AT4G23750	AL7G29600
AT1G26790	AL1G38900
AT3G51220	AL5G31620
AT1G05150	AL1G14910
AT3G52320	AL5G32950
AT3G13065	AL3G24800
AT2G26400	AL4G19080
AT3G27850	AL5G17330
AT2G44950	AL4G44060
AT4G33840	AL7G17620
AT5G26100	AL5G44720
AT3G26980	AL5G16000
AT1G14890	AL1G26920
AT3G03210	AL3G12820
AT2G35990	AL4G32090
AT4G22900	AL7G30620
AT4G24900	AL7G28300
AT4G23720	AL7G29630
AT4G21902	AL7G31950
AT1G74310	AL2G34170
AT3G51190	AL5G31610
AT1G05180	AL1G14940
AT3G13070	AL3G24810
AT1G04000	AL1G13610
AT2G44970	AL4G44070
AT2G26850	AL4G20060
AT4G33810	AL7G17650
AT4G34910	AL7G16320
AT3G28860	AL5G18630
AT3G61160	AL5G43400
AT3G03220	AL3G12830
AT4G22910	AL7G30610
AT4G23730	AL7G29620
AT5G18820	AL6G30180
AT1G74320	AL2G34180
AT3G52300	AL5G32930
AT3G51180	AL5G31600
AT1G03990	AL1G13600
AT1G05170	AL1G14930
AT2G44980	AL4G44080
AT2G26840	AL4G20050
AT2G27430	AL4G21380
AT4G32770	AL7G18970
AT4G33820	AL7G17640
AT3G61170	AL5G43410
AT4G09840	AL6G43480
AT3G62060	AL5G44740
AT3G27840	AL5G17310
AT3G02245	AL3G11510
AT2G19450	AL3G48800
AT5G18800	AL6G30150
AT5G19950	AL6G31480
AT3G52290	AL5G32920
AT1G23850	AL1G37600
AT1G26770	AL1G38930
AT3G13090	AL3G24830
AT1G04020	AL1G13630
AT1G43790	AL1G51910
AT4G32810	AL7G18920
AT1G05200	AL1G14960
AT3G22510	AL3G36820
AT2G44990	AL4G44090
AT4G09830	AL6G43470
AT3G62070	AL5G44750
AT5G07020	AL6G17170
AT4G13080	AL9U11120
AT1G13820	AL1G25620
AT3G02250	AL3G11520
AT1G14910	AL1G26960
AT3G11920	AL3G23510
AT5G18810	AL6G30160
AT5G19960	AL6G31490
AT3G28857	AL5G18620
AT1G23860	AL1G37610
AT3G13100	AL3G24840
AT1G04010	AL1G13620
AT2G26830	AL4G20030
AT1G05190	AL1G14950
AT2G27420	AL4G21360
AT4G32820	AL7G18910
AT1G26761	AL1G38940
AT3G61180	AL5G43430
AT5G08120	AL6G18490
AT3G42725	AL5G20930
AT3G03250	AL3G12860
AT3G02260	AL3G11530
AT4G21920	AL7G31910
AT5G18780	AL6G30130
AT5G19930	AL6G31460
AT3G11930	AL3G23520
AT2G19420	AL3G48820
AT1G26780	AL1G38910
AT3G13110	AL3G24850
AT3G30280	AL5G19920
AT5G21170	AL6G32790
AT2G27389	AL4G21350
AT1G05210	AL1G14980
AT4G33860	AL7G17610
AT4G09820	AL6G43450
AT1G04040	AL1G13650
AT3G61182	AL5G43440
AT4G10730	AL6G44780
AT2G26390	AL4G19030
AT4G32790	AL7G18940
AT5G07040	AL6G17190
AT3G03270	AL3G12870
AT3G01920	AL3G10210
AT1G14900	AL1G26930
AT1G13800	AL1G25600
AT4G21930	AL7G31900
AT5G19940	AL6G31470
AT3G13120	AL3G24860
AT3G28850	AL5G18600
AT2G27680	AL4G22670
AT2G36026	AL110U10020
AT2G27385	AL4G21340
AT4G32800	AL7G18930
AT3G21420	AL3G35500
AT1G04030	AL1G13640
AT3G61190	AL5G43450
AT1G05205	AL1G14970
AT3G22520	AL3G36830
AT3G59940	AL5G42120
AT5G07030	AL6G17180
AT3G03272	AL3G12880
AT3G01910	AL3G10220
AT2G26380	AL4G19020
AT1G13810	AL1G25610
AT5G53270	AL8G27920
AT3G07360	AL267U10010
AT1G11820	AL1G23000
AT3G10740	AL3G22210
AT3G11945	AL3G23540
AT1G12740	AL1G24330
AT3G03280	AL3G12890
AT1G31420	AL1G49630
AT2G15760	AL3G47510
AT2G47090	AL4G46630
AT3G13130	AL3G24870
AT1G76630	AL2G36770
AT1G64620	AL2G10140
AT1G75470	AL2G35440
AT2G46070	AL4G45300
AT1G74230	AL2G34110
AT1G02900	AL1G12340
AT1G04070	AL1G13670
AT1G01440	AL1G11010
AT3G59950	AL5G42130
AT3G20475	AL3G34200
AT1G55820	AL1G63940
AT1G23890	AL1G37640
AT1G26740	AL1G38970
AT3G22540	AL3G36860
AT3G21460	AL3G35530
AT3G02280	AL3G11560
AT3G01900	AL3G10230
AT2G38690	AL4G35980
AT3G42670	AL5G20900
AT2G37720	AL4G34650
AT1G65430	AL2G22120
AT5G52220	AL8G26600
AT1G31430	AL1G49620
AT1G11840	AL1G23010
AT3G11950	AL3G23550
AT1G12750	AL1G24340
AT3G02290	AL3G11570
AT3G30260	AL5G19910
AT1G35710	AL1G50610
AT1G76640	AL2G36780
AT1G74240	AL2G34120
AT1G26730	AL1G38980
AT1G04050	AL1G13660
AT3G61200	AL5G43470
AT1G05220	AL1G14990
AT1G02890	AL1G12330
AT3G59960	AL5G42140
AT1G53910	AL1G62620
AT1G55830	AL1G63950
